Customer_Name,Email,Phone,Adresse,Age,Gender,Location,Customer_Segment,Category,Subcategory,Product,Price,Quantity,Weight,Date_Order,Tax_5_percent,Payement,Shipper,Shipping_Method,Shipping Costs,Inventory_id,StockLevel,Restock_Threshold,Last_Restock_Date,Warehouse_Name,Location_warehouse,Supplier_Name,Supplier_Phone,Location_Supplier,Quality_Score,rating_customer
Lauren Alvarez,Lauren_Alvarez@yopmail.com,001-997-952-0881,5872 Jenna Glens Suite 064,59,Male,Saint Lucia,Silver,Energy,Biofuels,Biogas,11,6,1.7635386508288897,2023-11-30,0.55,Credit Card,FedEx,Ground,5.93,19,3994,150,2023-07-12,China WH,China,Knox LLC,383.661.6993x22658,USA,2.16,2
Daniel Long,Daniel_Long@outlook.fr,(791)573-8961x0379,66055 Kaylee Squares,-72,Female,Armenia,Bronze,Agriculture,Biopesticides,Neem oil-based insecticides,71,8,1.699909068320891,2023-12-03,3.55,Credit Card,GeoPost,Ground,31.54,6,3992,150,2023-07-12,Turkey WH,Turkey,Garcia-Mccormick,292.586.8523x64894,Turkey,1.38,3
Alisha Mccarthy,Alisha_Mccarthy@outlook.fr,(518)762-0063,5667 Short Vista Suite 844,-84,Female,Cape Verde,Silver,Energy,Biofuels,Ethanol,9,-4,1.3719443394777446,2023-12-02,0.45,Credit Card,Hermés Internation,Air,16.86,12,4004,150,2023-07-12,China WH,China,Allen-Morgan,+1-632-840-3759x8540,France,1.78,4
Anthony Wiggins,Anthony_Wiggins@youcode.ma,688.690.3807,330 Ronald Path,49,Female,Tonga,Silver,Agriculture,Biopesticides,Bacillus thuringiensis (Bt) products,44,-4,0.42659541743371066,2023-11-27,2.2,Ewallet,GeoPost,Air,44.86,16,4004,150,2023-07-12,Japan WH,Japan,Martin-Nguyen,5529063260,USA,1.57,3
Cameron Johnston,Cameron_Johnston@gmail.com,(882)480-6964x08391,9666 Daugherty Creek Suite 900,-50,Female,Tonga,Bronze,Food and Beverages,Organic Food,organic dairy products,61,1,1.3076927725147258,2023-11-29,3.05,Credit Card,DHL,Air,24.42,1,3999,150,2023-07-12,China WH,China,Howard-Moore,890-437-3248,USA,3.22,5
Lisa Ramirez,Lisa_Ramirez@gmail.com,3302210163,969 Johnson Burgs Suite 896,-19,Female,Tuvalu,Gold,Food and Beverages,Plant-Based Meat Alternatives,Tempeh,31,-10,1.3785762586892427,2023-11-29,1.55,Ewallet,DHL,Sea,40.08,11,4010,150,2023-07-12,Turkey WH,Turkey,Fisher-Hammond,693-847-1207,Colombia,1.16,1
Sarah Jones,Sarah_Jones@youcode.ma,001-472-200-5984x879,572 Rogers Mill,-20,Male,Albania,Silver,Food and Beverages,Organic Food,organic dairy products,61,3,1.2742952988821599,2023-11-29,3.05,Credit Card,Hermés Internation,Air,45.4,1,3997,150,2023-07-12,China WH,China,"Whitehead, Patterson and Moore",487.322.7958x772,China,4.8,4
Victoria Baker,Victoria_Baker@outlook.fr,3387534234,967 Amanda Mountain,16,Female,Togo,Gold,Materials and Chemicals,Biodegradable Packaging,Compostable bags,34,4,0.9386380370535793,2023-12-02,1.7,Ewallet,GeoPost,Ground,5.68,17,3996,150,2023-07-12,Japan WH,Japan,Hernandez Group,353.305.3064,France,4.76,4
Yvette Garcia,Yvette_Garcia@outlook.fr,313-826-9892x67007,44852 Angela Run Apt. 281,-16,Female,Uzbekistan,Bronze,Materials and Chemicals,Bioplastics,PHA (Polyhydroxyalkanoates),11,6,1.9290390827682902,2023-11-30,0.55,Credit Card,GeoPost,Ground,14.23,22,3994,150,2023-07-12,China WH,China,"Harrison, Mack and Fisher",(802)206-2653x591,Colombia,2.01,4
Eric Leach,Eric_Leach@yopmail.com,+1-724-665-7424,668 John Lane Suite 114,-65,Female,British Virgin Islands,Silver,Materials and Chemicals,Bioplastics,PHA (Polyhydroxyalkanoates),11,-6,1.085666318407229,2023-11-30,0.55,Credit Card,GeoPost,Air,11.42,22,4006,150,2023-07-12,Turkey WH,Turkey,Rhodes Group,603-563-6797,Turkey,3.97,4
Taylor Guzman,Taylor_Guzman@gmail.com,001-920-670-0655x3919,276 Lawson Village,38,Female,Sierra Leone,Silver,Materials and Chemicals,Bioplastics,PLA (Polylactic Acid),23,-2,0.7472445403896506,2023-11-28,1.15,Credit Card,GeoPost,Sea,10.43,18,4002,150,2023-07-12,China WH,China,Chavez PLC,001-428-667-7727,China,1.41,3
Debbie Simmons,Debbie_Simmons@maroc.ma,+1-359-959-4382x01622,818 Serrano View Apt. 768,34,Male,Gabon,Silver,Agriculture,Biopesticides,Neem oil-based insecticides,71,10,1.529936108322542,2023-11-29,3.55,Ewallet,GeoPost,Air,31.0,6,3990,150,2023-07-12,China WH,China,"Ramirez, Lawson and Miller",+1-347-993-4917,China,2.39,1
Nancy Harvey,Nancy_Harvey@youcode.ma,001-950-250-2191,2264 Brooks Row,67,Female,Suriname,Gold,Materials and Chemicals,Bioplastics,PHA (Polyhydroxyalkanoates),11,6,0.6889487217031655,2023-12-02,0.55,Credit Card,GeoPost,Ground,47.51,22,3994,150,2023-07-12,China WH,China,Guerrero Inc,857-545-7064,USA,1.87,2
Regina Vargas,Regina_Vargas@outlook.fr,001-208-746-8131x67601,21478 Clayton Gateway,-53,Female,Finland,Gold,Food and Beverages,Plant-Based Meat Alternatives,Tofu,19,8,0.8188240673112919,2023-12-03,0.95,Credit Card,DHL,Sea,16.87,21,3992,150,2023-07-12,Turkey WH,Turkey,Brown-Freeman,+1-900-856-5636x0546,France,4.48,
Heather Malone,Heather_Malone@youcode.ma,001-926-323-9166x48949,2286 Carlos Course Apt. 583,-68,Male,Benin,Gold,Pharmaceuticals,Biopharmaceuticals,Insulin,11,2,1.0162820595730087,2023-12-03,0.55,Ewallet,FedEx,Ground,12.77,3,3998,150,2023-07-12,China WH,China,Kelly and Sons,979.926.9216,Colombia,4.13,2
David Lee,David_Lee@maroc.ma,933-316-4106,3364 Jackson Isle Apt. 394,77,Female,Vietnam,Silver,Food and Beverages,Plant-Based Meat Alternatives,Tempeh,31,-2,1.4948162479947245,2023-12-02,1.55,Ewallet,FedEx,Air,48.56,11,4002,150,2023-07-12,Japan WH,Japan,"Mendez, Phillips and Sanchez",(310)766-4121,Colombia,1.35,1
Rhonda Cooper,Rhonda_Cooper@outlook.fr,769.373.9931x269,7041 Walker Underpass,80,Female,South Georgia and the South Sandwich Islands,Gold,Pharmaceuticals,Biopharmaceuticals,Vaccines,50,9,0.5268776658362854,2023-12-01,2.5,Ewallet,GeoPost,Ground,37.52,23,3991,150,2023-07-12,China WH,China,"Cooper, Mccoy and Dalton",(968)985-0699x17182,France,3.25,4
Sonya Mueller,Sonya_Mueller@yopmail.com,+1-842-880-9862x3819,118 Franco Forks,42,Male,British Indian Ocean Territory (Chagos Archipelago),Bronze,Pharmaceuticals,Biopharmaceuticals,Monoclonal antibodies,10,7,1.2512092815359288,2023-12-02,0.5,Cash,GeoPost,Ground,5.86,15,3993,150,2023-07-12,China WH,China,"Weaver, Sanchez and Collins",(493)909-1050x53713,France,1.51,4
Christina White,Christina_White@gmail.com,221.426.7408x164,122 Hooper Gardens,-29,Female,Uganda,Gold,Food and Beverages,Organic Food,organic dairy products,61,6,0.9694574918951686,2023-11-30,3.05,Ewallet,FedEx,Ground,19.62,1,3994,150,2023-07-12,China WH,China,Watson PLC,+1-216-621-8956x046,USA,1.56,5
Jason Sanders,Jason_Sanders@gmail.com,001-597-583-9151,587 David Mission,-40,Male,Libyan Arab Jamahiriya,Gold,Agriculture,Biopesticides,Bacillus thuringiensis (Bt) products,44,0,1.7588101934956064,2023-12-01,2.2,Cash,DHL,Air,45.6,16,4000,150,2023-07-12,Turkey WH,Turkey,"Suarez, Armstrong and Ballard",469.514.2132x181,Turkey,3.82,1
Jeremy Thomas,Jeremy_Thomas@gmail.com,001-221-569-5059x4903,023 Michaela Squares Suite 489,9,Female,Cuba,Bronze,Agriculture,Biopesticides,Bacillus thuringiensis (Bt) products,44,-5,1.996535865943621,2023-11-29,2.2,Ewallet,Hermés Internation,Sea,27.73,16,4005,150,2023-07-12,Japan WH,Japan,Diaz LLC,840-466-7419x830,China,2.24,3
James Medina,James_Medina@maroc.ma,345-380-2409x2222,4045 Garcia Spur Apt. 918,78,Male,Niue,Silver,Pharmaceuticals,Herbal Medicines,Turmeric supplements,29,6,1.939265226610868,2023-12-01,1.45,Cash,DHL,Air,14.98,2,3994,150,2023-07-12,Turkey WH,Turkey,Clark LLC,644.679.0791x822,China,2.58,3
Michael Hester,Michael_Hester@outlook.fr,+1-982-766-4850x10840,20369 Chen Branch Suite 739,32,Female,Greece,Gold,Energy,Biofuels,Biogas,11,0,0.905505910879572,2023-11-29,0.55,Cash,United Parcel Service,Ground,28.42,19,4000,150,2023-07-12,China WH,China,Wilson-Hernandez,+1-274-297-8552x1084,USA,3.0,2
Amanda Carpenter,Amanda_Carpenter@gmail.com,645-750-4520,90049 Fuentes Spring,35,Male,Paraguay,Bronze,Energy,Biofuels,Ethanol,9,-4,1.7058945536685333,2023-12-01,0.45,Cash,United Parcel Service,Ground,23.97,12,4004,150,2023-07-12,Turkey WH,Turkey,Hughes-Howard,832.501.7986,USA,3.49,3
Michael Manning,Michael_Manning@outlook.fr,(623)756-8596,833 King Forges Suite 337,8,Male,Turkey,Silver,Materials and Chemicals,Bioplastics,PHA (Polyhydroxyalkanoates),11,-8,0.8299481382837456,2023-11-27,0.55,Cash,United Parcel Service,Sea,49.3,22,4008,150,2023-07-12,Japan WH,Japan,Smith-White,001-607-938-6064x34902,China,2.85,1
Miguel Lynch,Miguel_Lynch@outlook.fr,769.531.3772,06832 Stephenson Mill,-59,Male,Greece,Gold,Energy,Biomass,Crop residues for energy generation,12,-10,1.8727411195203425,2023-11-30,0.6,Credit Card,FedEx,Sea,22.93,13,4010,150,2023-07-12,Turkey WH,Turkey,"Boyd, Melton and Hill",981.975.1140,USA,3.46,4
Brandy Grimes,Brandy_Grimes@yopmail.com,001-407-915-3971x655,632 Burch Oval Apt. 908,15,Female,Bermuda,Bronze,Pharmaceuticals,Biopharmaceuticals,Monoclonal antibodies,10,-3,1.2658588687891925,2023-11-28,0.5,Credit Card,GeoPost,Air,41.26,15,4003,150,2023-07-12,Turkey WH,Turkey,"Calderon, Flynn and Rivas",457-746-6878,France,3.95,2
Kristen Maldonado,Kristen_Maldonado@gmail.com,959-609-4999,2794 Bennett Cliff,30,Male,Italy,Bronze,Energy,Biofuels,Biogas,11,-4,0.8394240916692942,2023-11-28,0.55,Cash,United Parcel Service,Sea,26.28,19,4004,150,2023-07-12,Turkey WH,Turkey,Wood-Burton,259.898.9314x097,Colombia,2.59,2
Christina Brooks,Christina_Brooks@youcode.ma,(797)410-9560,40277 Andre Lakes Suite 110,-38,Female,Kuwait,Bronze,Agriculture,Biopesticides,Neem oil-based insecticides,71,2,1.1655798708501959,2023-11-27,3.55,Ewallet,FedEx,Ground,8.78,6,3998,150,2023-07-12,Japan WH,Japan,Wheeler-Clark,248-632-1485x344,Colombia,3.26,1
Brandon Kennedy,Brandon_Kennedy@hotmail.com,615-876-0496x161,69490 Curry Throughway,-1,Female,Kiribati,Silver,Pharmaceuticals,Herbal Medicines,Echinacea extracts,46,6,0.6430851610304134,2023-11-28,2.3,Credit Card,Hermés Internation,Ground,8.92,7,3994,150,2023-07-12,Turkey WH,Turkey,Meza-Cole,+1-614-864-0895x064,China,1.79,4
Kathy Cherry,Kathy_Cherry@outlook.fr,001-234-466-1240x69925,4812 Williams Greens,58,Female,Bouvet Island (Bouvetoya),Gold,Materials and Chemicals,Bioplastics,PHA (Polyhydroxyalkanoates),11,5,1.6883942637652687,2023-11-30,0.55,Credit Card,Hermés Internation,Ground,22.78,22,3995,150,2023-07-12,China WH,China,Rodriguez LLC,704.535.6533,France,3.5,3
Amanda Pierce,Amanda_Pierce@outlook.fr,686.609.0959,61972 Brandon Mission,40,Female,Belize,Gold,Agriculture,Biofertilizers,Rhizobium-based fertilizers,80,-8,0.29735106604012423,2023-11-30,4.0,Credit Card,FedEx,Sea,48.78,10,4008,150,2023-07-12,China WH,China,"Wiggins, Moody and Robinson",467.428.7063x037,France,4.86,1
Whitney Riddle,Whitney_Riddle@maroc.ma,(573)211-0115,2670 Ramirez Extensions,32,Male,Panama,Bronze,Energy,Biofuels,Biogas,11,-5,0.5520286251368385,2023-12-03,0.55,Cash,Hermés Internation,Ground,11.06,19,4005,150,2023-07-12,Turkey WH,Turkey,Chavez-Grant,214.570.4705,Turkey,2.68,5
Amanda Sullivan,Amanda_Sullivan@hotmail.com,001-509-979-7070,42453 Hall Branch Apt. 738,61,Male,Haiti,Bronze,Pharmaceuticals,Herbal Medicines,Echinacea extracts,46,8,1.6398108345991156,2023-11-28,2.3,Cash,DHL,Sea,49.98,7,3992,150,2023-07-12,Turkey WH,Turkey,Johnson Group,(773)873-1730x17106,Colombia,1.95,5
Linda Young,Linda_Young@gmail.com,676.329.8205x271,376 Andrew Ports Apt. 493,64,Female,Kazakhstan,Silver,Agriculture,Biopesticides,Neem oil-based insecticides,71,2,1.7818732676384943,2023-11-30,3.55,Cash,FedEx,Ground,34.54,6,3998,150,2023-07-12,China WH,China,Murphy-Brown,(246)317-5417,China,2.17,
Melissa Olson,Melissa_Olson@yopmail.com,881.644.0831x70172,13796 Jennifer Hills Suite 919,11,Male,Libyan Arab Jamahiriya,Silver,Food and Beverages,Plant-Based Meat Alternatives,Tofu,19,9,0.16437950134788887,2023-11-28,0.95,Ewallet,DHL,Air,20.39,21,3991,150,2023-07-12,Turkey WH,Turkey,Cole-Jones,(371)262-2953x63971,Colombia,3.1,3
Bradley Rivera,Bradley_Rivera@gmail.com,329-809-0172,2804 Jose Vista,78,Male,Venezuela,Silver,Pharmaceuticals,Herbal Medicines,Echinacea extracts,46,0,1.9132828910936792,2023-11-27,2.3,Credit Card,GeoPost,Air,16.62,7,4000,150,2023-07-12,Turkey WH,Turkey,Shepherd Group,001-200-375-1589x916,USA,2.22,5
Angela Ray,Angela_Ray@outlook.fr,001-542-495-1987,512 Donald Unions Suite 851,-31,Male,Greenland,Gold,Food and Beverages,Organic Food,organic dairy products,61,2,1.6017601006982838,2023-11-29,3.05,Ewallet,FedEx,Sea,29.58,1,3998,150,2023-07-12,China WH,China,Gallagher-Farmer,001-846-859-2079,China,1.71,4
Tammy Ramos,Tammy_Ramos@hotmail.com,860-903-9696x3884,235 Sean Valley,85,Female,Grenada,Bronze,Pharmaceuticals,Herbal Medicines,Turmeric supplements,29,6,0.8386035390711521,2023-11-28,1.45,Credit Card,DHL,Air,19.25,2,3994,150,2023-07-12,Turkey WH,Turkey,Davies Ltd,441-603-0848x3570,Turkey,1.01,3
Cynthia Mercado,Cynthia_Mercado@yopmail.com,7446299692,78513 Ward Creek,-52,Female,Svalbard & Jan Mayen Islands,Bronze,Food and Beverages,Plant-Based Meat Alternatives,Tempeh,31,-1,0.4255717757790026,2023-12-01,1.55,Credit Card,Hermés Internation,Air,48.12,11,4001,150,2023-07-12,Turkey WH,Turkey,Brennan-Lewis,001-587-894-0056x52470,China,3.67,1
Cindy Perkins,Cindy_Perkins@gmail.com,369-346-0287x069,03243 Rachel Mission,-36,Female,Burundi,Bronze,Pharmaceuticals,Herbal Medicines,Echinacea extracts,46,-5,1.5806384479153528,2023-12-01,2.3,Credit Card,GeoPost,Sea,42.11,7,4005,150,2023-07-12,Japan WH,Japan,Brooks-Perry,(409)340-4857,France,4.51,2
Thomas Clark,Thomas_Clark@yopmail.com,+1-860-536-8491,4821 Black Turnpike Apt. 396,-17,Male,Cayman Islands,Bronze,Food and Beverages,Plant-Based Meat Alternatives,Tempeh,31,5,0.6615212764310164,2023-11-27,1.55,Credit Card,Hermés Internation,Sea,8.16,11,3995,150,2023-07-12,China WH,China,Young PLC,(523)772-9509x26078,Colombia,3.95,2
Jordan Medina,Jordan_Medina@maroc.ma,535-891-2023x1772,39467 Jessica Springs,-14,Male,Heard Island and McDonald Islands,Gold,Materials and Chemicals,Bioplastics,PLA (Polylactic Acid),23,3,1.0647924542901064,2023-11-30,1.15,Ewallet,United Parcel Service,Sea,13.24,18,3997,150,2023-07-12,Turkey WH,Turkey,"Roberts, Mills and Decker",+1-878-257-1639x787,USA,2.47,3
Daniel Brown,Daniel_Brown@yopmail.com,761.982.8447,50548 Jones Loaf,61,Female,United States of America,Bronze,Agriculture,Biopesticides,Neem oil-based insecticides,71,1,0.4203843747512138,2023-11-27,3.55,Ewallet,DHL,Sea,49.94,6,3999,150,2023-07-12,China WH,China,Washington LLC,001-620-695-3359x598,France,4.39,
Justin Nelson,Justin_Nelson@youcode.ma,(286)226-4126x341,825 Kurt Stravenue Apt. 431,-25,Female,Albania,Gold,Energy,Biomass,Wood pellets,11,2,1.1168137998797918,2023-12-02,0.55,Cash,FedEx,Air,25.87,4,3998,150,2023-07-12,Japan WH,Japan,Rodriguez Ltd,(287)929-8708x6115,China,3.31,
Dana Wheeler,Dana_Wheeler@outlook.fr,5543680471,94160 Erica Walk Suite 757,-3,Male,French Guiana,Gold,Energy,Biofuels,Biogas,11,-5,1.0527727629824946,2023-12-01,0.55,Ewallet,GeoPost,Air,10.63,19,4005,150,2023-07-12,Japan WH,Japan,"Stokes, Baker and Wilson",581-649-9048x77862,Colombia,1.75,3
Sara Garcia,Sara_Garcia@gmail.com,(434)514-5307,3918 Thompson Brook Suite 472,-21,Male,Kazakhstan,Gold,Pharmaceuticals,Herbal Medicines,Echinacea extracts,46,-7,0.6852649791009198,2023-11-27,2.3,Cash,FedEx,Sea,12.61,7,4007,150,2023-07-12,China WH,China,Atkins PLC,464-538-0835x836,Turkey,4.86,1
Amy Elliott,Amy_Elliott@youcode.ma,+1-867-331-2516,579 Thompson Mission Suite 043,26,Male,Somalia,Gold,Materials and Chemicals,Biodegradable Packaging,Biodegradable food containers,30,9,1.8239326717673863,2023-11-29,1.5,Credit Card,DHL,Air,9.98,20,3991,150,2023-07-12,China WH,China,Williams and Sons,599.800.9594x744,France,3.47,4
Bruce Rubio,Bruce_Rubio@outlook.fr,(263)344-6806,35868 Baker Island,-44,Male,Denmark,Gold,Materials and Chemicals,Bioplastics,PLA (Polylactic Acid),23,1,0.14086635205995038,2023-12-01,1.15,Cash,United Parcel Service,Ground,23.75,18,3999,150,2023-07-12,Japan WH,Japan,Atkinson PLC,884-351-7785x1797,China,3.32,4
Steven Chapman,Steven_Chapman@yopmail.com,001-866-262-9528x4187,3600 Michele Point,-32,Male,United Arab Emirates,Gold,Energy,Biofuels,Biodiesel,5,1,1.537842249027165,2023-11-29,0.25,Credit Card,GeoPost,Sea,39.58,5,3999,150,2023-07-12,Turkey WH,Turkey,Willis-Chung,(586)320-7786x0198,China,2.37,2
Michael Gentry,Michael_Gentry@outlook.fr,634-579-3948x15078,90829 Wright Square,-35,Male,Monaco,Gold,Food and Beverages,Plant-Based Meat Alternatives,Seitan,16,4,0.8415859599587031,2023-11-28,0.8,Cash,Hermés Internation,Ground,23.45,8,3996,150,2023-07-12,China WH,China,Bennett-Savage,001-658-871-2586,China,1.23,1
Jeffery Lane,Jeffery_Lane@hotmail.com,001-429-770-2262x74478,850 Christina Station,-82,Male,Zimbabwe,Silver,Energy,Biofuels,Biogas,11,9,0.3840813166042266,2023-11-27,0.55,Credit Card,Hermés Internation,Sea,45.53,19,3991,150,2023-07-12,Japan WH,Japan,Phillips and Sons,7796959966,Turkey,1.69,3
Arthur Chang,Arthur_Chang@hotmail.com,+1-377-600-5045x0015,5168 Martin Haven Suite 719,50,Male,Botswana,Silver,Materials and Chemicals,Bioplastics,PLA (Polylactic Acid),23,9,1.608086020340943,2023-12-02,1.15,Ewallet,Hermés Internation,Air,16.02,18,3991,150,2023-07-12,Turkey WH,Turkey,"Meyer, Curtis and Cain",+1-740-882-3340,Colombia,1.2,5
Mark Lee,Mark_Lee@hotmail.com,257.345.5530x414,83368 Jason Haven,-88,Male,Sierra Leone,Gold,Agriculture,Biopesticides,Bacillus thuringiensis (Bt) products,44,5,1.514727479230593,2023-12-02,2.2,Credit Card,United Parcel Service,Ground,48.27,16,3995,150,2023-07-12,Turkey WH,Turkey,Thompson LLC,(467)340-2189x676,Turkey,2.52,2
Mike Douglas,Mike_Douglas@outlook.fr,235-772-4873,003 Stafford Stream Suite 320,50,Female,Romania,Bronze,Food and Beverages,Plant-Based Meat Alternatives,Seitan,16,2,1.714127031695404,2023-12-02,0.8,Ewallet,GeoPost,Air,27.54,8,3998,150,2023-07-12,China WH,China,"Johnson, Marshall and Vasquez",796.244.8378,USA,4.45,1
Amy Riddle,Amy_Riddle@gmail.com,2609524197,308 Kimberly Mountains,35,Female,Egypt,Silver,Materials and Chemicals,Biodegradable Packaging,Compostable bags,34,4,0.5926009523281688,2023-11-29,1.7,Ewallet,Hermés Internation,Air,8.61,17,3996,150,2023-07-12,Turkey WH,Turkey,"Hamilton, Harper and Pace",001-562-690-5490x0270,France,4.78,1
Larry White,Larry_White@hotmail.com,301-705-3311,55194 Wilson Knolls Apt. 743,-33,Male,Palau,Silver,Energy,Biofuels,Biogas,11,3,0.7024188762264657,2023-11-28,0.55,Cash,United Parcel Service,Ground,48.3,19,3997,150,2023-07-12,Japan WH,Japan,"Watkins, Ward and Butler",7107101094,USA,4.35,3
Alex Nichols,Alex_Nichols@gmail.com,643.467.8946,36037 Stone Branch Apt. 904,-9,Female,Cook Islands,Silver,Materials and Chemicals,Bioplastics,PHA (Polyhydroxyalkanoates),11,6,0.13100457101595678,2023-11-28,0.55,Ewallet,DHL,Sea,20.73,22,3994,150,2023-07-12,Turkey WH,Turkey,Johnston PLC,311-299-9730x62336,Colombia,1.46,
Anthony Dudley,Anthony_Dudley@maroc.ma,7462976260,14413 Andrea Stream Apt. 718,16,Male,Lebanon,Gold,Energy,Biofuels,Biogas,11,0,1.033206266658739,2023-11-28,0.55,Ewallet,Hermés Internation,Sea,26.14,19,4000,150,2023-07-12,Turkey WH,Turkey,"Warner, Fuentes and Robinson",621-689-1791x9209,Turkey,1.87,1
Juan Fitzgerald,Juan_Fitzgerald@yopmail.com,(916)738-9766x84945,37527 Lewis Court Suite 314,-18,Female,Colombia,Gold,Agriculture,Biofertilizers,Rhizobium-based fertilizers,80,-10,1.8789053636744077,2023-11-29,4.0,Cash,FedEx,Sea,5.28,10,4010,150,2023-07-12,Turkey WH,Turkey,Miller Inc,556.393.7446x732,France,3.15,5
Susan Berger,Susan_Berger@hotmail.com,458.225.5063,026 Jonathan Centers,47,Male,Micronesia,Silver,Pharmaceuticals,Biopharmaceuticals,Vaccines,50,0,1.210105522797631,2023-11-27,2.5,Credit Card,DHL,Sea,21.04,23,4000,150,2023-07-12,China WH,China,"Adams, Farmer and Madden",(659)912-8645x0147,China,3.34,1
Jose Little,Jose_Little@youcode.ma,001-290-711-5942x755,1317 Martin Pine,56,Female,Micronesia,Bronze,Food and Beverages,Plant-Based Meat Alternatives,Seitan,16,8,1.703046797808944,2023-12-02,0.8,Ewallet,DHL,Ground,23.35,8,3992,150,2023-07-12,China WH,China,Smith Group,950-273-4320,Colombia,3.34,2
Tiffany Gonzalez,Tiffany_Gonzalez@gmail.com,540-996-9720x74839,82642 Lori Brooks,44,Male,Bermuda,Silver,Food and Beverages,Organic Food,organic dairy products,61,6,1.3804547253134096,2023-11-27,3.05,Credit Card,Hermés Internation,Air,37.26,1,3994,150,2023-07-12,Turkey WH,Turkey,"Munoz, Phillips and Perkins",690.916.0916x47071,USA,1.4,
Amy Hunt,Amy_Hunt@hotmail.com,001-567-330-4575x03114,21632 Price Ranch,65,Male,Bulgaria,Gold,Pharmaceuticals,Biopharmaceuticals,Insulin,11,3,0.7769884628553434,2023-11-29,0.55,Cash,DHL,Air,5.93,3,3997,150,2023-07-12,Turkey WH,Turkey,"Lewis, Mcfarland and Lewis",(931)415-5537x52955,Colombia,2.91,1
Heather Miles,Heather_Miles@maroc.ma,426.569.5350,75629 Ashley Mission,18,Female,Israel,Bronze,Materials and Chemicals,Biodegradable Packaging,Biodegradable food containers,30,-8,1.3399254791903006,2023-11-30,1.5,Ewallet,FedEx,Ground,17.74,20,4008,150,2023-07-12,Japan WH,Japan,Smith LLC,+1-621-665-0235x0115,France,1.46,5
Scott Gibson,Scott_Gibson@youcode.ma,692.746.2805x10005,6585 Hogan Mill,26,Male,Togo,Gold,Materials and Chemicals,Biodegradable Packaging,Biodegradable food containers,30,-10,1.9245266728821737,2023-11-27,1.5,Cash,United Parcel Service,Ground,46.64,20,4010,150,2023-07-12,Japan WH,Japan,Smith LLC,480-585-4394x89316,France,1.7,5
Michael Martinez,Michael_Martinez@yopmail.com,(955)942-9878,2175 Murphy Heights Suite 586,45,Female,Angola,Bronze,Food and Beverages,Plant-Based Meat Alternatives,Tempeh,31,1,0.6115513526420041,2023-12-01,1.55,Cash,United Parcel Service,Sea,28.02,11,3999,150,2023-07-12,China WH,China,"Huang, Martinez and Crosby",705.587.7840x5472,USA,1.55,3
Christian May,Christian_May@outlook.fr,(309)200-5579x87986,788 Hanson Junctions Apt. 478,44,Female,Gambia,Gold,Agriculture,Biopesticides,Neem oil-based insecticides,71,-8,1.4898693362900406,2023-11-30,3.55,Ewallet,United Parcel Service,Ground,9.06,6,4008,150,2023-07-12,China WH,China,Grant Group,001-982-292-3403x30801,France,4.46,
Gail Atkins,Gail_Atkins@maroc.ma,+1-261-517-6528x0777,2590 Joshua Islands Suite 631,-38,Male,Saint Vincent and the Grenadines,Silver,Materials and Chemicals,Bioplastics,PHA (Polyhydroxyalkanoates),11,9,0.756576904546156,2023-11-30,0.55,Credit Card,GeoPost,Ground,6.69,22,3991,150,2023-07-12,Turkey WH,Turkey,Arroyo-Fletcher,239-279-0220x4102,USA,4.35,2
Donna Powell,Donna_Powell@gmail.com,(262)372-1195x537,43781 Bryce Squares Apt. 482,-10,Female,Iran,Bronze,Materials and Chemicals,Biodegradable Packaging,Biodegradable food containers,30,-7,1.2428083784439719,2023-11-28,1.5,Cash,GeoPost,Ground,48.51,20,4007,150,2023-07-12,China WH,China,"Garcia, Richardson and Gutierrez",001-499-295-4000x736,France,4.07,1
Scott Woodard,Scott_Woodard@gmail.com,(696)356-6619x04060,49812 John Pine Suite 060,54,Male,Bolivia,Silver,Energy,Biomass,Crop residues for energy generation,12,10,1.6050505049928114,2023-11-29,0.6,Ewallet,GeoPost,Air,21.39,13,3990,150,2023-07-12,Japan WH,Japan,"Moon, Smith and Holland",+1-405-318-8261,China,4.31,4
Kelly Hensley,Kelly_Hensley@youcode.ma,+1-651-668-7625,178 Perez Forges Apt. 246,89,Female,Russian Federation,Bronze,Energy,Biofuels,Biogas,11,0,1.8183443979235479,2023-12-01,0.55,Cash,DHL,Air,48.77,19,4000,150,2023-07-12,Turkey WH,Turkey,James Ltd,3492950378,France,2.96,4
Anthony Tapia,Anthony_Tapia@hotmail.com,201-625-3225,26036 Brittany Fords Apt. 172,20,Male,French Southern Territories,Bronze,Food and Beverages,Organic Food,Organic fruits and vegetables,36,2,0.8328367179252233,2023-12-02,1.8,Cash,FedEx,Air,24.88,14,3998,150,2023-07-12,Turkey WH,Turkey,Parker-Erickson,468.632.4369x0192,Turkey,3.09,3
Erica Clark,Erica_Clark@yopmail.com,761.760.6922x3400,8645 Kelsey Hollow Suite 516,-5,Male,Faroe Islands,Bronze,Energy,Biofuels,Biogas,11,3,1.322410838213164,2023-11-30,0.55,Credit Card,United Parcel Service,Sea,46.34,19,3997,150,2023-07-12,Japan WH,Japan,"Holder, Morales and Bonilla",+1-924-569-2971x53175,China,1.3,1
